image_id,filename,filepath,anomaly_class,triage_label,is_anomaly,maintenance_priority,width,height,image_mode,pixel_mean,pixel_std,split
11336,11336.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11336.jpg,No-Anomaly,Normal,0,Low,24,40,L,163.18333333333334,17.895988066851434,train
12983,12983.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12983.jpg,No-Anomaly,Normal,0,Low,24,40,L,109.66354166666666,16.375487396001294,train
11259,11259.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11259.jpg,No-Anomaly,Normal,0,Low,24,40,L,95.91041666666666,18.303127460256317,train
13083,13083.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\13083.jpg,No-Anomaly,Normal,0,Low,24,40,L,139.425,23.181453614186207,train
5806,5806.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5806.jpg,Cell,Anomaly Detected,1,High,24,40,L,180.39583333333334,10.20761477062862,train
18972,18972.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\18972.jpg,No-Anomaly,Normal,0,Low,24,40,L,116.73020833333334,12.39846781353502,train
11122,11122.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11122.jpg,No-Anomaly,Normal,0,Low,24,40,L,163.06041666666667,12.06391381323058,train
10143,10143.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10143.jpg,No-Anomaly,Normal,0,Low,24,40,L,179.94166666666666,26.45040038554342,train
12794,12794.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12794.jpg,No-Anomaly,Normal,0,Low,24,40,L,145.06458333333333,14.974492055705559,train
16806,16806.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16806.jpg,No-Anomaly,Normal,0,Low,24,40,L,161.728125,12.8620096531494,train
5774,5774.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5774.jpg,Cell,Anomaly Detected,1,High,24,40,L,94.03229166666667,21.33536771610926,train
8961,8961.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8961.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,175.86770833333333,14.936748550078223,train
3155,3155.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\3155.jpg,Shadowing,Anomaly Detected,1,Moderate,24,40,L,237.36354166666666,24.56793565720566,train
5326,5326.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5326.jpg,Cell,Anomaly Detected,1,High,24,40,L,152.6125,25.003205002892464,train
11974,11974.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11974.jpg,No-Anomaly,Normal,0,Low,24,40,L,160.453125,16.849019835024283,train
2030,2030.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\2030.jpg,Diode,Anomaly Detected,1,High,24,40,L,161.07708333333332,21.775136237454916,train
5082,5082.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5082.jpg,Cell,Anomaly Detected,1,High,24,40,L,160.35833333333332,13.35901433073896,train
7664,7664.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\7664.jpg,Cracking,Anomaly Detected,1,High,24,40,L,187.19166666666666,33.011688796882574,train
19346,19346.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\19346.jpg,No-Anomaly,Normal,0,Low,24,40,L,137.175,9.924328272818602,train
10815,10815.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10815.jpg,No-Anomaly,Normal,0,Low,24,40,L,142.63333333333333,33.74272966959779,train
18180,18180.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\18180.jpg,No-Anomaly,Normal,0,Low,24,40,L,100.95,8.036220089901306,train
11527,11527.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11527.jpg,No-Anomaly,Normal,0,Low,24,40,L,187.71666666666667,25.671622898099415,train
