,precision,recall,f1-score,support
Cell,0.5574468085106383,0.46619217081850534,0.5077519379844961,281.0
Cell-Multi,0.4807692307692308,0.25906735751295334,0.3367003367003367,193.0
Cracking,0.708029197080292,0.6879432624113475,0.697841726618705,141.0
Diode,0.9386792452830188,0.8844444444444445,0.9107551487414187,225.0
Diode-Multi,0.7272727272727273,0.9230769230769231,0.8135593220338984,26.0
Hot-Spot,0.20454545454545456,0.4864864864864865,0.288,37.0
Hot-Spot-Multi,0.25,0.43243243243243246,0.31683168316831684,37.0
Offline-Module,0.5774647887323944,0.6612903225806451,0.6165413533834586,124.0
Shadowing,0.6547619047619048,0.6918238993710691,0.672782874617737,159.0
Soiling,0.20930232558139536,0.5806451612903226,0.3076923076923077,31.0
Vegetation,0.6233766233766234,0.5853658536585366,0.6037735849056604,246.0
accuracy,0.5926666666666667,0.5926666666666667,0.5926666666666667,0.5926666666666667
macro avg,0.5392407550830619,0.605342574007606,0.5520209341678487,1500.0
weighted avg,0.6211633550252376,0.5926666666666667,0.5973324896239981,1500.0
